"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2002";60,0;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2003";58,2;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2004";56,5;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2005";54,9;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2006";53,7;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2007";53,2;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2008";52,9;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2009";52,9;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2010";52,8;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2011";53,7;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2012";54,5;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2013";55,4;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2014";56,8;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2015";57,9;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2016";59,7;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2017";61,6;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2018";63,4;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2019";64,8;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2020";67,9;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2021";68,9;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2022";70,3;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2023";71,5;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2024";72,2;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2002";61,1;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2003";59,1;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2004";57,5;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2005";55,8;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2006";55,1;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2007";54,5;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2008";54,0;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2009";53,9;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2010";53,7;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2011";54,6;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2012";55,7;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2013";56,9;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2014";58,5;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2015";60,4;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2016";62,3;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2017";64,4;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2018";66,6;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2019";68,9;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2020";72,1;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2021";73,5;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2022";74,9;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2023";76,2;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2024";77,3;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2002";49,3;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2003";47,6;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2004";46,4;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2005";45,7;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2006";45,6;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2007";45,7;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2008";46,6;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2009";47,8;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2010";48,4;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2011";50,6;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2012";52,7;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2013";54,9;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2014";57,2;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2015";59,8;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2016";62,6;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2017";65,1;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2018";67,5;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2019";69,7;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2020";72,9;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2021";74,6;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2022";75,7;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2023";76,4;"osoba";"";
0203000;"Powiat głogowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2024";77,0;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2002";68,1;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2003";65,3;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2004";62,6;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2005";60,8;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2006";59,3;"osoba";"";
0204000;"Powiat górowski";"ludność w wieku nieprodukcyjnym na 100 osób w wieku produkcyjnym";"2007";58,4;"osoba";"";
