"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2000";;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2001";;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2002";67,6;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2003";67,8;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2004";67,8;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2005";67,8;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2006";67,9;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2007";67,9;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2008";68,2;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2009";68,3;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2010";69,4;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2011";69,4;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2012";69,4;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2013";69,3;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2014";69,3;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2015";69,2;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2016";69,2;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2017";69,2;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2018";69,2;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2019";69,1;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2020";67,9;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2021";67,7;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2022";67,5;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2023";67,2;"osoba";"";
0201000;"Powiat bolesławiecki";"ludność na 1 km2";"2024";66,9;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność na 1 km2";"2000";;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność na 1 km2";"2001";;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność na 1 km2";"2002";222,4;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność na 1 km2";"2003";221,5;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność na 1 km2";"2004";220,7;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność na 1 km2";"2005";219,8;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność na 1 km2";"2006";218,6;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność na 1 km2";"2007";218,0;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność na 1 km2";"2008";217,1;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność na 1 km2";"2009";216,6;"osoba";"";
0202000;"Powiat dzierżoniowski";"ludność na 1 km2";"2010";221,9;"osoba";"";
